Link,Name,Status
https://genealogy.math.ndsu.nodak.edu/id.php?id=1,Ernest Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=2,Archie Higdon,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=3,Donald Rock,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=4,Charles Thorne,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=5,Ralph Tripp,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=6,William Stiles,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=7,Carl Langenhop,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=8,James Beach,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=9,Henry Block,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=10,Frank Bortle,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=11,Alfred Engelbrecht,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=12,Robert Goss,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=13,Lawrence Payne,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=14,Jun Chu,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=15,Roy Reeves,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=16,Robert Lambert,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=17,Arnold Wedel,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=18,Robert Worsing,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=19,Victor Bolie,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=20,Frederick Chong,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=21,Clarence Lindahl,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=22,Arlin Feyerherm,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=23,"Leslie Gates, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=24,Harlan Mills,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=25,Walter Dyer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=26,Robert Branstetter,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=27,Buchanan Cargal,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=28,Henry Hrubecky,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=29,Newton Smith,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=30,Dean Benson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=31,Ralph Klopfenstein,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=32,William Swartz,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=33,Donald Richmond,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=34,Gerard Weeg,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=35,Fowler Yett,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=36,Hoarold Heckart,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=37,Roger Low,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=38,Gary Meisters,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=39,Ivan Ruggles,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=40,Wallace Raab,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=41,William Montgomery,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=42,Uno Kodres,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=43,Nathaniel Martin,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=44,Jack Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=45,Paul Rygg,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=46,Jerold Mathews,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=47,Sidney Nolte,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=48,A. M. Fink,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=49,Lura Dean,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=50,Orville Goering,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=51,Joe Bunn,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=52,Donald James,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=53,Marvin Mundt,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=54,Albert Zechmann,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=55,R. Jones,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=56,Henry Bray,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=57,"William Jameson, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=58,Ronald Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=59,Christian Darken,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=60,Roger Crane,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=61,Shelby Hildebrand,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=62,Ronald Hocking,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=63,David Link,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=64,Benjamin Sims,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=65,John Mordeson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=66,George Byrne,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=67,Kenneth Deckert,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=68,William Hemmerle,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=69,Elsie Muller,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=70,Derald Walling,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=71,Wayne Muth,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=72,Thomas Robinson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=73,Donovan Sanderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=74,David Lomen,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=75,Leland Graber,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=76,Thomas Rogge,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=77,Bruce Secrest,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=78,Robert Bueker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=79,William Waltman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=80,Leonard Peterson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=81,Gene Kemper,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=82,James Rue,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=83,"Edgar Rutter, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=84,Jens Jensen,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=85,Gary Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=86,Theordore Boessenroth,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=87,James Delany,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=88,Malcolm Tobey,Valid
